,Municipio,Temperatura_media,Latitude,Longitude
394,paracatu,23.67853391185202,-17.24444444,-46.88166666
395,governador valadares,24.18758332244151,-18.830354,-41.977007
396,general carneiro,15.813379073756431,-26.3986111,-51.35361111
397,colinas,25.598993288590606,-6.03305554,-44.23333333
398,campo grande,24.459544356230584,-20.447195,-54.722615
399,chapadao do sul,26.513759213759215,-18.80222222,-52.6025
400,campo bom,19.742662701589843,-29.674293,-51.064042
401,nova friburgo salinas,16.65559456928839,-22.33472221,-42.67694443
402,joao pessoa,27.218703784254025,-7.16527777,-34.81555555
403,porangatu,27.958665338645417,-13.30944444,-49.11749999
404,capitao poco,25.690806754221388,-1.73472221,-47.0575
407,sao luis do paraitinga,23.199598393574295,-23.22833332,-45.41694443
408,rio sono,26.591061151079135,-9.793363,-47.132732
409,duque de caxias xerem,22.539353807512274,-22.58972221,-43.28222221
412,valparaiso,24.34893841487538,-21.31916666,-50.93027777
413,alegrete,19.126485177067714,-29.709083,-55.525486
414,sao paulo mirante,20.08324009590136,-23.496294,-46.620088
416,sao mateus do sul,18.47071807767533,-25.83555555,-50.36888888
417,passo fundo,17.751527634740818,-28.226805,-52.403582
418,santa rosa,19.671772370695386,-27.89055555,-54.47999999
419,castro,20.574264705882353,-24.78694444,-49.99916666
421,coxim,25.011722684155053,-18.51222222,-54.7361111
422,cassilandia,23.684709970596096,-19.12249999,-51.72083332
423,morrinhos,22.957312826465465,-17.745066,-49.101698
424,rio pardo de minas,21.015994962216627,-15.72305554,-42.43583333
425,bonito,24.08275549512803,-21.24666666,-56.45055555
426,ze doca,27.073223673054095,-3.26916666,-45.65111111
427,floresta,26.707213930348257,-8.59888888,-38.58416666
428,piranhas,26.345739040475884,-9.62222221,-37.76722221
430,encruzilhada do sul,18.811120664946976,-30.54305555,-52.52472221
431,santiago,18.736035284300872,-29.191599,-54.885653
432,paragominas,26.85072463768116,-2.99027777,-47.40777777
433,coari,32.176923076923075,-4.09749999,-63.14527777
434,campina da lagoa,24.886405228758168,-24.57083332,-52.80027777
435,gama ponte alta ,21.923872588195,-15.93527777,-48.13749999
436,redencao,26.8319318971508,-8.04333333,-50.00694444
437,alto taquari,22.17814988290398,-17.8411111,-53.28944444
438,sao miguel do araguaia,28.83418213206733,-12.82055554,-50.33583333
439,dionisio cerqueira,19.38275156475686,-26.286562,-53.633114
